Variables,Coefficient,Lower_CI_95,Upper_CI_95,P_Value,importance
Effetive Exchange Rate,0,0,0,1,0.037423626
Uncertainty,-0.000765868,-0.00321011,0.000566815,0.445622523,0.049250625
Price Competitiveness,0,0,0,1,0.060069077
Production Volumn,0,0,0,1,0.15675713
Unemployment Rate,0,0,0,1,0.069878995
Total Reserves,-4.99E-05,0,0,0.926766487,0.054767404
Imports,-5.31E-06,0,0,0.98286175,0.039184228
Exports,1.96E-06,0,0,0.988124569,0.2088477
Retail Trade,0,0,0,1,0.067758456
DAX,-0.000424894,-0.005152878,0,0.76837343,0.0647297
CPI,0,0,0,1,0.09073925
Manufacturing,0.007075759,0.004174116,0.01029953,2.92E-05,0.100593835